新增行1
新增行2
新增行3
新增行4
新增行5
新增行6
File Version,BWRam4.10_4
Date,2025-12-15 11:27:47
title,BWS465-785S
model,BTC665N-785S-SYS
c code,SMJ
operator,
pixel_start,0
pixel_end,2047
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(sec),8
integration times unit,2
time_multiply,1
average number,1
spectrometer_type,72
yaxis,0
yaxis_min,0
yaxis_max,65535
xaxis,1
xaxis_min,103
xaxis_max,1014
pixel_num,2048
coefs_a0,781.601227069664
coefs_a1,0.152450329669346
coefs_a2,-4.22711107004759E-06
coefs_a3,-8.10798476334763E-10
coefs_b0,-6322.76017464382
coefs_b1,11.7698408209694
coefs_b2,-0.00749009855934912
coefs_b3,3.5578674562391E-06
coefs_r0,1
coefs_r1,0
coefs_r2,0
coefs_r3,0
coefs_j0,1
coefs_j1,0
coefs_j2,0
coefs_j3,0
enable_coefs_r,0
laser_wavelength,784.84
laser_powerlevel,80
probe_index,0
probe_name,Probe_SMJ_0
dark_compensate,0
numcoeff_d,7
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,782
Color_EndWL,782
Color_IncWL,10
power_unit_index,1
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,   ,   ,   ,1237.0000,65535.0000,1417.0000,180.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
1,   ,   ,   ,1340.0000,65535.0000,1546.0000,206.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
2,   ,   ,   ,1233.0000,65535.0000,1369.0000,136.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
3,   ,   ,   ,1191.0000,65535.0000,1382.0000,191.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
4,   ,   ,   ,1206.0000,65535.0000,1396.0000,190.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
5,   ,   ,   ,1237.0000,65535.0000,1384.0000,147.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
6,   ,   ,   ,1201.0000,65535.0000,1428.0000,227.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
7,   ,   ,   ,1221.0000,65535.0000,1402.0000,181.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
8,   ,   ,   ,1210.0000,65535.0000,1463.0000,253.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
9,   ,   ,   ,1242.0000,65535.0000,1489.0000,247.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
10,   ,   ,   ,1215.0000,65535.0000,1497.0000,282.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
11,   ,   ,   ,1290.0000,65535.0000,1574.0000,284.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
12,   ,   ,   ,1184.0000,65535.0000,1552.0000,368.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
13,   ,   ,   ,1223.0000,65535.0000,1573.0000,350.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
14,   ,   ,   ,1396.0000,65535.0000,1883.0000,487.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
15,   ,   ,   ,1200.0000,65535.0000,2406.0000,1206.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
16,   ,   ,   ,1203.0000,65535.0000,6872.0000,5669.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
17,   ,   ,   ,1259.0000,65535.0000,20946.0000,19687.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
18,   ,   ,   ,1221.0000,65535.0000,30557.0000,29336.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
19,   ,   ,   ,1317.0000,65535.0000,34405.0000,33088.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
20,   ,   ,   ,1239.0000,65535.0000,18021.0000,16782.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
21,   ,   ,   ,1460.0000,65535.0000,5351.0000,3891.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
22,   ,   ,   ,1211.0000,65535.0000,2465.0000,1254.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
23,   ,   ,   ,1230.0000,65535.0000,1820.0000,590.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
24,   ,   ,   ,1210.0000,65535.0000,1620.0000,410.0000,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
